Rk,Season,Decade Year,Conf,W Overal,L Overal,W-L% Overal,W Conference,L Conference,W-L% Conference,SRS,SOS,PTS,PTS,AP Pre,AP High,AP Final,NCAA Tournament,Seed,Coach(es)
46,1974,5,Big Ten,19,8,0.704,12,6,0.667,11.62,6.85,76.6,72.3,17,11,19,Lost First Round,,Johnny Orr (19-8)
47,1973,4,Big Ten,22,5,0.815,12,2,0.857,14.75,6.9,80.6,72.8,,6,6,Lost Regional Final,,Johnny Orr (22-5)
48,1972,3,Big Ten,13,11,0.542,6,8,0.429,10.01,6.05,81.4,77.5,19,18,,,,Johnny Orr (13-11)
49,1971,2,Big Ten,14,10,0.583,9,5,0.643,3.97,3.75,81.6,81.4,13,9,,,,Johnny Orr (14-10)
50,1970,1,Big Ten,19,7,0.731,12,2,0.857,11.25,6.17,86,80.8,,12,,,,Johnny Orr (19-7)
51,1969,10,Big Ten,10,14,0.417,5,9,0.357,6.49,5.62,88.9,88.3,,,,,,Johnny Orr (10-14)
52,1968,9,Big Ten,13,11,0.542,7,7,0.5,6.6,7.93,89.7,91.1,,,,,,Johnny Orr (13-11)
53,1967,8,Big Ten,11,13,0.458,6,8,0.429,1.86,4.95,84,86,,,,,,Dave Strack (11-13)
54,1966,7,Big Ten,8,16,0.333,2,12,0.143,0.06,4.18,82.5,86.7,,,,,,Dave Strack (8-16)
55,1965,6,Big Ten,18,8,0.692,11,3,0.786,12.86,5.34,91.9,83.2,2,2,9,Lost Regional Final,,Dave Strack (18-8)
56,1964,5,Big Ten,24,4,0.857,13,1,0.929,18.89,8.27,90.4,78.4,1,1,1,Lost National Final,,Dave Strack (24-4)
57,1963,4,Big Ten,23,5,0.821,11,3,0.786,18.31,7.35,86.4,75.4,8,2,2,Lost National Semifinal,,Dave Strack (23-5)
58,1962,3,Big Ten,16,8,0.667,8,6,0.571,8.51,4.28,76.5,72,,,,,,Dave Strack (16-8)
59,1961,2,Big Ten,7,17,0.292,5,9,0.357,-0.5,5.81,70.7,75.9,,,,,,Dave Strack (7-17)
60,1960,1,Big Ten,6,18,0.25,2,12,0.143,-3.58,3.2,66.8,72,,,,,,Dave Strack (6-18)
61,1959,10,Big Ten,4,20,0.167,1,13,0.071,-7.71,5.05,64.6,77.4,,,,,,Bill Perigo (4-20)
62,1958,9,Big Ten,15,7,0.682,8,6,0.571,8.46,2.83,81.4,75.7,,,,,,Bill Perigo (15-7)
63,1957,8,Big Ten,11,11,0.5,6,8,0.429,1.72,1.48,76.5,74.5,,,,,,Bill Perigo (11-11)
64,1956,7,Big Ten,13,9,0.591,8,6,0.571,7.17,4.55,76.5,73.5,,,,,,Bill Perigo (13-9)
65,1955,6,Big Ten,9,13,0.409,4,10,0.286,2.43,5.61,73.2,76.4,,,,,,Bill Perigo (9-13)
66,1954,5,Big Ten,11,11,0.5,5,9,0.357,9.59,5.83,79.3,73.3,,,,,,Bill Perigo (11-11)
67,1953,4,Big Ten,9,13,0.409,3,11,0.214,3.56,6.56,72.6,75.6,,,,,,Bill Perigo (9-13)
68,1952,3,Big Ten,6,16,0.273,3,15,0.167,0.03,9.31,70.5,78.5,,,,,,Bill Perigo (6-16)
69,1951,2,Big Ten,7,15,0.318,4,10,0.286,-0.85,3.72,59,61.6,,,,,,Ernie McCoy (7-15)
70,1950,1,Big Ten,7,15,0.318,3,11,0.214,-0.16,4.03,52.7,56.9,,,,,,Ernie McCoy (7-15)
71,1949,10,Big Ten,11,11,0.5,4,8,0.333,6.64,6.23,57.5,57.1,,,,,,Ernie McCoy (11-11)
72,1948,9,Big Ten,15,6,0.714,7,5,0.583,,,52.9,46,,,,,,Ernie McCoy (15-6)
73,1947,8,Big Ten,16,6,0.727,10,2,0.833,,,49.8,42.5,,,,Lost Regional Semifinal,,Ozzie Cowles (16-6)
74,1946,7,Big Ten,12,8,0.6,6,6,0.5,,,,,,,,,,Ozzie Cowles (12-8)
75,1945,6,Big Ten,12,7,0.632,6,6,0.5,,,,,,,,,,Bennie Oosterbaan (12-7)
76,1944,5,Big Ten,12,7,0.632,5,7,0.417,,,,,,,,,,Bennie Oosterbaan (12-7)
77,1943,4,Big Ten,8,10,0.444,5,7,0.417,,,,,,,,,,Bennie Oosterbaan (8-10)
